"","å1","å3","å4","å5","score"
"1",1,1,2,1,-0.586793740364119
"2",5,0,0,5,0.842098903629798
"3",3,4,5,4,2.59262162166475
"4",4,5,2,3,1.90488955117537
"6",1,1,2,2,-0.240050442735967
"8",5,2,3,3,1.6110732018873
"9",5,4,4,4,3.00299162461452
"10",5,2,2,5,1.90488955117537
"11",4,3,3,1,1.0880299029103
"12",3,4,3,3,1.6110732018873
"13",3,3,3,4,1.6110732018873
"14",2,1,4,3,0.842098903629798
"16",3,4,4,3,1.90488955117537
"17",5,5,5,5,4
"18",1,1,4,4,0.842098903629799
"20",1,1,1,1,-0.988670454489805
"21",3,2,2,3,0.842098903629798
"22",4,2,4,3,1.6110732018873
"23",5,5,4,4,3.49100234712801
"24",3,2,2,1,0.339315465917388
"25",3,3,5,4,2.23010784453195
"26",3,4,3,3,1.6110732018873
"27",2,2,0,0,-0.988670454489805
"28",1,2,1,2,-0.240050442735967
"30",4,3,4,2,1.6110732018873
"31",4,2,3,3,1.34149926246329
"32",5,3,4,4,2.59262162166474
"33",5,5,5,5,4
"34",5,2,3,4,1.90488955117537
"35",4,2,3,3,1.34149926246329
"36",5,2,5,3,2.23010784453195
"37",5,5,5,4,4
"38",4,3,4,1,1.34149926246329
"39",3,3,3,3,1.34149926246329
"41",4,4,3,4,2.23010784453195
"43",3,3,3,3,1.34149926246329
"44",4,2,3,1,0.842098903629799
"45",4,5,5,4,3.49100234712801
"46",2,3,4,4,1.6110732018873
"47",5,5,5,5,4
"48",5,3,3,5,2.59262162166474
"49",0,0,0,0,-3
"50",3,3,2,0,0.339315465917388
"51",0,1,1,1,-1.45766343560472
"52",2,3,3,4,1.34149926246329
"53",3,1,2,1,0.0644732613971887
"54",3,3,3,2,1.0880299029103
"55",3,1,2,3,0.595383926668002
"58",0,1,1,1,-1.45766343560472
"59",2,2,2,2,0.339315465917388
"61",4,3,4,4,2.23010784453195
"62",1,3,4,1,0.595383926668002
"63",3,3,2,2,0.842098903629799
"65",4,2,2,1,0.595383926668002
"66",0,0,0,0,-3
"68",4,3,3,3,1.6110732018873
"69",2,2,2,3,0.595383926668002
"70",2,3,2,3,0.842098903629799
