"","ls1","ls2","ls3","ls5","ls6","score"
"1",3,4,5,5,5,3.48236234517862
"2",2,2,2,2,2,0.243423399716078
"3",5,5,5,5,5,4
"4",2,3,4,4,2,1.33437633290088
"5",0,1,1,1,2,-1.04238965598459
"6",5,3,5,3,5,3.04735118284898
"7",2,2,1,2,1,-0.215850931633362
"8",3,3,2,4,3,1.33437633290088
"9",3,4,4,4,4,2.35948204772237
"10",2,2,2,2,2,0.243423399716078
"11",2,3,2,3,3,0.892578134450525
"12",4,4,4,4,4,2.67976123962362
"13",4,4,5,5,5,4
"14",1,1,1,1,2,-0.739090494222557
"15",2,2,2,2,3,0.461670780369362
"16",3,3,2,4,4,1.56649058581839
"17",4,4,4,4,5,3.04735118284898
"18",1,2,0,1,0,-1.38718385887497
"19",0,0,0,0,0,-4
"20",4,5,5,5,5,4
"21",3,4,2,4,3,1.56649058581839
"23",3,3,3,1,2,0.677085778568236
"24",5,5,3,2,5,2.67976123962362
"25",1,2,2,2,1,-0.215850931633362
"26",3,2,2,4,3,1.11077610671079
"27",2,2,1,4,4,0.892578134450526
"28",4,4,3,3,5,2.35948204772237
"30",3,5,3,2,5,2.07308010156175
"31",2,3,2,2,1,0.243423399716078
"33",1,4,2,2,4,0.892578134450526
"34",3,3,4,3,3,1.56649058581839
"35",3,4,4,3,3,1.81101700971344
"36",5,5,5,5,5,4
"37",3,3,3,3,3,1.33437633290088
"38",5,4,4,4,5,3.48236234517862
"39",2,4,1,0,2,0.0189852880942777
"40",4,4,4,4,5,3.04735118284898
"41",3,2,2,1,2,0.243423399716078
"42",2,2,2,1,3,0.243423399716078
"43",5,5,5,5,5,4
"44",5,5,5,5,5,4
"45",2,3,3,3,4,1.33437633290088
"48",3,4,4,3,4,2.07308010156175
"49",2,2,3,3,4,1.11077610671079
"50",5,4,4,4,4,3.04735118284898
"51",0,0,0,3,0,-1.78932801183057
"52",2,3,2,4,5,1.56649058581839
"53",2,4,0,3,4,0.892578134450525
"54",3,4,4,5,2,2.07308010156175
"55",2,3,2,1,5,0.892578134450525
"56",3,3,3,2,3,1.11077610671079
"58",2,1,2,3,2,0.243423399716078
"60",5,5,4,5,5,4
"61",3,1,1,2,4,0.461670780369362
"62",4,4,4,2,5,2.35948204772237
