"","abk4","abk5","abk6","å2","å4","å5","score"
"1",2,3,3,3,3,3,1.02374270150756
"3",2,3,4,4,3,4,1.52267753168192
"5",3,4,2,3,3,3,1.18363121821464
"6",3,2,2,3,3,1,0.556608844613631
"7",2,5,4,4,5,4,2.39211090015895
"8",4,5,5,3,4,4,2.69093400477097
"9",4,5,4,5,5,5,4
"10",2,2,2,3,3,5,1.02374270150756
"11",2,2,3,0,0,0,-0.653716862786949
"12",3,2,1,3,2,0,0.0768159971849011
"13",0,0,0,0,1,1,-2.13191076047669
"14",4,1,3,4,3,4,1.34901929418055
"15",2,1,2,3,2,1,0.0768159971849011
"16",1,2,2,3,3,2,0.399884001157097
"17",3,1,0,2,2,3,0.076815997184901
"21",1,2,2,2,2,2,0.076815997184901
"23",4,1,3,4,4,4,1.52267753168192
"24",3,2,4,2,4,1,0.867107951806302
"25",1,2,2,2,2,2,0.076815997184901
"27",2,1,3,3,2,1,0.240380993375375
"28",2,1,2,1,0,0,-0.869903638863462
"30",2,4,3,3,3,3,1.18363121821464
"31",3,1,3,1,2,3,0.399884001157097
"32",3,3,3,3,2,3,1.02374270150756
"33",3,5,4,4,5,4,2.69093400477097
"34",2,1,3,2,2,3,0.399884001157097
"35",4,5,4,5,5,5,4
"36",2,4,2,4,3,2,1.02374270150756
"37",1,1,2,1,1,1,-0.653716862786949
"38",0,4,4,3,3,3,1.02374270150756
"39",2,0,2,3,2,4,0.399884001157097
"40",3,4,3,4,4,3,1.70829186756231
"41",3,5,4,3,4,4,2.13576872839157
"42",2,3,1,1,2,2,0.0768159971849011
"43",2,2,3,3,3,3,0.867107951806302
"44",3,2,3,2,4,2,0.867107951806302
"45",4,5,4,4,4,3,2.39211090015895
"46",1,2,2,3,2,3,0.399884001157097
"48",2,1,2,2,2,3,0.240380993375375
"49",3,4,1,2,4,4,1.18363121821464
"50",1,2,0,0,0,4,-0.653716862786949
"51",0,1,1,0,0,0,-2.13191076047669
"52",4,5,5,3,1,1,1.34901929418055
"53",2,3,2,4,2,1,0.55660884461363
"54",4,5,5,4,4,5,3.50198175767104
"55",2,3,3,3,3,3,1.02374270150756
"56",3,3,5,2,3,5,1.70829186756231
"57",2,3,4,2,2,3,0.867107951806302
"58",1,1,0,3,1,2,-0.454858729849938
"59",2,2,3,2,3,4,0.867107951806302
"60",2,5,3,2,3,4,1.34901929418055
"62",3,3,4,2,3,5,1.52267753168192
"63",3,2,2,2,2,3,0.556608844613631
"65",1,2,2,1,2,2,-0.0923087656361555
"66",4,4,5,4,4,3,2.39211090015895
"67",3,5,4,3,4,4,2.13576872839157
"68",3,4,3,2,3,4,1.34901929418055
"69",2,3,3,3,3,3,1.02374270150756
"70",4,5,3,4,3,5,2.39211090015895
"71",2,4,1,4,3,2,0.867107951806302
"72",4,4,2,4,3,5,1.91057907120444
"73",1,2,2,4,2,2,0.399884001157097
"74",3,1,5,2,1,1,0.399884001157097
"75",1,4,4,3,3,4,1.34901929418055
"76",3,5,4,3,3,1,1.34901929418055
"77",3,2,4,4,3,4,1.52267753168192
"80",2,4,4,3,4,4,1.70829186756232
"81",2,3,4,4,3,4,1.52267753168192
"82",3,5,4,3,3,3,1.70829186756232
"83",2,1,3,1,2,2,0.076815997184901
"84",2,2,3,2,2,2,0.399884001157097
"85",4,3,4,5,4,2,1.91057907120444
"86",4,1,5,3,4,4,1.70829186756232
"87",4,2,3,3,4,3,1.34901929418055
"88",2,4,2,3,2,3,0.867107951806302
"90",3,4,3,3,2,2,1.02374270150756
"92",2,2,4,5,5,5,2.13576872839157
"93",0,1,1,1,1,1,-1.11029181779559
"94",3,4,4,3,1,1,0.867107951806302
"95",3,1,4,3,4,4,1.34901929418055
"96",4,5,5,4,5,5,4
"97",3,3,3,2,2,2,0.711920207975147
"98",2,3,2,2,3,3,0.711920207975147
"99",3,1,5,1,4,4,1.18363121821464
"100",1,2,2,2,2,1,-0.0923087656361554
"101",0,2,3,2,3,3,0.399884001157097
"102",3,2,4,2,3,4,1.18363121821464
"103",4,5,5,5,5,5,4
"104",2,2,2,1,2,1,-0.0923087656361555
"105",1,3,0,2,1,3,-0.0923087656361553
"107",3,3,2,1,2,2,0.399884001157097
"108",0,2,0,2,1,0,-1.11029181779559
"109",2,1,2,2,3,1,0.076815997184901
"110",2,3,2,4,3,2,0.867107951806302
"111",4,5,2,3,3,2,1.34901929418055
"113",3,4,4,4,2,4,1.70829186756232
"114",4,3,5,5,5,5,3.50198175767104
"115",3,0,4,1,3,2,0.399884001157097
"116",2,2,2,2,3,2,0.399884001157097
"117",2,4,4,2,3,1,0.867107951806302
"118",1,1,2,3,1,3,0.0768159971849011
"120",3,3,3,3,3,3,1.18363121821464
"121",4,2,4,3,4,5,1.91057907120444
"122",3,3,3,4,3,3,1.34901929418055
"123",2,4,1,1,2,2,0.240380993375375
"125",3,2,4,3,4,4,1.52267753168192
"126",2,1,4,2,1,1,0.0768159971849013
"127",3,1,4,3,4,4,1.34901929418055
"129",4,2,5,3,3,3,1.52267753168192
"130",2,3,3,2,2,2,0.55660884461363
"131",2,2,4,2,2,2,0.55660884461363
"132",4,5,5,5,5,3,3.50198175767104
"133",2,1,4,4,5,3,1.34901929418055
"134",3,4,3,4,4,4,1.91057907120444
"135",2,3,3,2,2,1,0.399884001157097
"137",1,2,1,1,1,2,-0.454858729849938
"138",4,4,3,3,2,4,1.52267753168192
"140",3,3,0,3,1,2,0.240380993375375
"141",2,1,3,2,3,2,0.399884001157097
"142",2,0,1,2,1,2,-0.454858729849938
"143",1,3,1,3,3,3,0.556608844613631
"145",2,4,4,3,3,2,1.18363121821464
"146",4,5,5,4,5,5,4
"147",1,1,0,4,3,3,0.240380993375375
"148",4,5,5,5,5,5,4
"149",2,4,5,4,3,4,1.91057907120444
"150",3,2,4,3,3,4,1.34901929418055
"151",1,3,1,1,4,4,0.556608844613631
"152",3,3,3,3,3,3,1.18363121821464
"154",3,1,4,2,4,3,1.02374270150756
"155",3,1,4,3,4,4,1.34901929418055
"156",3,2,4,4,3,2,1.18363121821464
"157",1,4,2,4,4,4,1.34901929418055
"158",4,5,4,4,3,2,1.91057907120444
"159",3,3,3,4,5,4,1.91057907120444
"160",3,2,4,3,2,2,0.867107951806302
"161",2,2,4,3,3,2,0.867107951806302
"162",1,3,3,1,1,1,-0.0923087656361552
"163",3,4,4,4,2,3,1.52267753168192
"164",1,2,2,2,1,1,-0.268760303120513
"166",3,4,2,1,2,4,0.867107951806302
"167",0,5,1,5,1,1,0.399884001157097
"168",4,4,1,3,2,2,0.867107951806302
"169",3,3,1,2,2,1,0.240380993375375
"170",3,2,4,5,4,5,2.13576872839157
"172",2,2,4,1,2,2,0.399884001157097
"173",3,4,3,2,3,4,1.34901929418055
